Formula,Name,Page number
C2HF2Cl[g],DIFLUOROCHLOROETHYLENE (GAS),365
"C2HF2Cl[1,1][g]","1,1-DIFLUOROCHLOROETHYLENE (GAS)",366
C2HF2Cl[cis][g],CIS-DIFLUOROCHLOROETHYLENE (GAS),367
C2HF2Cl[trans][g],TRANS-DIFLUOROCHLOROETHYLENE (GAS),368
C2H2FCl[g],FLUOROCHLOROETHYLENE (GAS),369
"C2H2FCl[1,1][g]","1,1-FLUOROCHLOROETHYLENE (GAS)",370
C2H2FCl[cis][g],CIS-FLUOROCHLOROETHYLENE (GAS),371
C2H2FCl[trans][g],TRANS-FLUOROCHLOROETHYLENE (GAS),372
CHFCIBr[g],FLUOROCHLOROBROMOMETHANE (GAS),373
CHFClI[g],FLUOROCHLOROIODOMETHANE (GAS),374
CHFI2[g],FLUORODIIODOMETHANE (GAS),375
CHF2I[g],DIFLUOROIODOMETHANE (GAS),376
CH2FI[g],FLUOROIODOMETHANE (GAS),377
CHI3[g],TRIIODOMETHANE (GAS),378
CH2I2[g],DIIODOMETHANE (GAS),379
CH3I[g],IODOMETHANE (GAS),380
CHO[g],OXOMETHYL (GAS),381
CH2O[g],FORMALDEHYDE (GAS),382
CH2O2,FORMIC ACID,382
CH2O2[g],FORMIC ACID (GAS),383
CH3O[g],CARBON OXIDE-TRIHYDRIDE (GAS),384
CH4O,METHANOL,385
CH4O[g],METHANOL (GAS),386
C2H2O[g],ETHENONE (KETENE) (GAS),386
C2H4O[g],ACETALDEHYDE (GAS),387
C2H4O2,ACETIC ACID,387
C2H4O2[g],ACETIC ACID (GAS),388
C2H6O,ETHANOL,388
C2H6O[g],ETHANOL (GAS),389
C3H6O,ACETONE,389
C3H6O[g],ACETONE (GAS),390
C6H6O,PHENOL,390
C6H6O[g],PHENOL (GAS),391
CH2OH[g],CARBON DIHYDRIDE-HYDROXIDE (GAS),392
CH2S3,CARBONOTRITHIONIC ACID,393
CI[g],CARBON IODIDE (GAS),394
CI2[g],CARBON DIIODIDE (GAS),395
CI3[g],CARBON TRIIODIDE (GAS),396
CI4[g],CARBON TETRAIODIDE (GAS),397
CN[g],CYANOGEN (GAS),398
CN2[g],CARBON NITRIDE (NCN RADICAL) (GAS),399
C2N2[g],ETHANEDINITRILE (GAS),400
CNC[g],NITROGEN DICARBIDE (GAS),401
CNN[g],NITROGEN CARBIDE-NITRIDE (GAS),402
CO[g],CARBON MONOXIDE (GAS),403
CO2[g],CARBON DIOXIDE (GAS),404
C2O[g],DICARBON OXIDE (GAS),405
C3O2[g],TRICARBON DIOXIDE (GAS),406
COCl[g],CARBONYL CHLORIDE (GAS),407
COCl2[g],CARBONIC DICHLORIDE (PHOSGEN),408
COF[g],CARBONYL FLUORIDE (GAS),409
COF2[g],CARBONIC DIFLUORIDE (GAS),410
COOH[g],CARBOXYL (GAS),411
COS[g],CARBON OXIDE SULFIDE (GAS),412
CP[g],CARBON PHOSPHIDE (GAS),413
CS[g],CARBON MONOSULFIDE (GAS),414
CS2[g],CARBON DISULFIDE (GAS),415
Ca,CALCIUM,416
Ca[g],CALCIUM (GAS),417
Ca3(AsO4)2,CALCIUM ARSENATE,418
